Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_30,SMA_50,EMA_30,EMA_50,MACD,Signal_Line,RSI,Upper_Band,Lower_Band,Company,Trend,SP500_Close,SP500_High,SP500_Low,SP500_Open,SP500_Volume,SP500_SMA_30,SP500_SMA_50,SP500_EMA_30,SP500_EMA_50,SP500_MACD,SP500_Signal_Line,SP500_RSI
1987-06-12,0.2526102066040039,0.3704950134106998,0.2526102066040039,0.2526102066040039,12100,0.0,0.0,0.2363310828804969,0.2361065432429313,0.236784575888181,0.2343505974186769,0.0013276023836994,0.0002478723627004,100.0,0.2441430458260511,0.2290804690288567,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-15,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2368924319744109,0.2364433526992797,0.2378055843214599,0.2350666605239839,0.0023658926603177,0.0006714764222239,100.0,0.2478205573980557,0.2270870047385942,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-16,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.237453781068325,0.2367801621556281,0.2387607212429144,0.2357546427232003,0.0031524062085478,0.0011676623794887,100.0,0.250634736574777,0.225956872843615,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-17,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.238015130162239,0.2371169716119766,0.2396542364275009,0.2364156452283299,0.0037326956698842,0.0016806690375678,100.0,0.2529601967897085,0.2253154599104256,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-18,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.238576479256153,0.237453781068325,0.2404901054711462,0.2370507260665916,0.0041448005678557,0.0021734953436254,100.0,0.2549430047524355,0.2250166992294408,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-19,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2391378283500671,0.2377905905246734,0.2412720474797177,0.2376609017739411,0.0044204405811626,0.0026228843911328,100.0,0.2566573880463657,0.2249863632172526,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-22,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2396991774439811,0.2381273999810218,0.2420035416167684,0.2382471490221789,0.0045860224653072,0.0030155120059677,100.0,0.2581460231614334,0.225181775383927,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-23,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2402605265378951,0.2384642094373702,0.2426878425836869,0.2388104061822505,0.0046634894974398,0.0033451075042621,100.0,0.2594347977704874,0.2255770480566151,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-24,0.2526102066040039,0.3368138760126172,0.2526102066040039,0.2526102066040039,7260,0.0,0.0,0.2408218756318092,0.2388010188937187,0.2433279951011267,0.2393515748262408,0.0046710378616754,0.0036102935757448,100.0,0.2605393002400505,0.2261565928687942,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-25,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2413832247257232,0.2391378283500671,0.2439268474561511,0.2398715211704668,0.004623720621556,0.003812978984907,100.0,0.2614679307448456,0.2269120096457413,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-26,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2419445738196372,0.2394746378064155,0.2444870641753674,0.2403710774619781,0.0045339567368863,0.0039571745353029,100.0,0.2622233475217926,0.2278406401505363,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-06-29,0.2526102066040039,0.2526102066040039,0.2526102066040039,0.2526102066040039,0,0.0,0.0,0.2425059229135513,0.2398114472627639,0.2450111378804407,0.240851043310685,0.0044119598843744,0.0040481316051172,100.0,0.2628028923339717,0.2289451426200993,AVD,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
